codlocal,recursos_total,recursos_operativos,recursos_buen_estado,recursos_necesitan_reparacion,recursos_menos_3_anios,recursos_mas_3_anios,n_tipos_recurso,rec_auriculares,rec_consola_audio,rec_laptop_convencional,rec_laptop_xo,rec_microservidor,rec_otro_recurso,rec_pc_escritorio,rec_pizarra_digital,rec_proyector_multimedia,rec_servidor,rec_tablet_aprendo_casa,rec_tablet_otros,rec_tablet_pronatel,pct_recursos_operativos,pct_operativos_reparacion,pct_operativos_mas_3_anios,n_lineas,n_lineas_activas,tiene_filtro_contenido_web,ancho_contratado_max,velocidad_garantizada_mediana_pct,velocidad_bajada_max,velocidad_subida_max,lineas_medio_adsl,lineas_medio_cable_coaxial,lineas_medio_fibra_optica,lineas_medio_hfc,lineas_medio_otro_medio,lineas_medio_radioenlace,lineas_medio_satelital,lineas_medio_sin_dato,lineas_medio_usb_modem,lineas_medio_wifi,lineas_proveedor_bitel,lineas_proveedor_claro,lineas_proveedor_entel,lineas_proveedor_level3,lineas_proveedor_movistar,lineas_proveedor_otro_proveedor,lineas_proveedor_sencinet,lineas_proveedor_sin_dato,lineas_proveedor_vsat_minedu,lineas_proveedor_win,cod_centro_poblado,cod_ccpp_minedu,centro_poblado,direccion,localidad,cod_distrito,departamento,provincia,distrito,region_dre,cod_ugel,nombre_ugel,estado_codigo,estado,area_codigo,gestion_codigo,area,clasificacion_osiptel,latitud_ccpp_osiptel,longitud_ccpp_osiptel,bitel_3g_cg,bitel_4g_cg,bitel_5g_cg,claro_2g_cg,claro_3g_cg,claro_4g_cg,claro_5g_cg,entel_2g_cg,entel_3g_cg,entel_4g_cg,entel_5g_cg,integratel_2g_cg,integratel_3g_cg,integratel_4g_cg,integratel_5g_cg,cobertura_3g_max_pct,cobertura_4g_max_pct,cobertura_5g_max_pct,operadores_4g_con_cobertura,tiene_registro_recursos,tiene_registro_lineas,tiene_registro_cobertura
000024,4,4,4,0,2,2,2,0,0,0,0,0,0,3,0,1,0,0,0,0,100.0,0.0,50.0,1,1,False,6.0,70.0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON JUNIN 697,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000038,6,6,6,0,0,6,3,0,0,1,0,0,0,4,0,1,0,0,0,0,100.0,0.0,100.0,1,1,True,1000.0,100.0,50,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON PUNO 261,LUYA URCO,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000057,2,2,1,1,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,100.0,50.0,100.0,1,1,,,,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON AMAZONAS S/N,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000062,41,41,41,0,21,20,5,0,0,4,0,0,0,12,4,4,0,0,17,0,100.0,0.0,48.78048780487805,1,1,False,200.0,100.0,100,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0101010001,131197,CHACHAPOYAS,AVENIDA SALAMANCA 495,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000081,23,2,0,2,0,2,6,0,0,1,8,0,1,8,0,1,0,4,0,0,8.695652173913043,100.0,100.0,2,2,False,80.0,80.0,70,70,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0209030001,128460,BAMBAS,CARRETERA CENTRAL S/N,,020903,ANCASH,CORONGO,BAMBAS,DRE ANCASH,020009,UGEL CORONGO,1,Activo,2,A,Rural,URBANO,-8.60251,-77.99561,0.0,0.0,0.0,26.951870264284377,0.0,0.0,0.0,0,0,0.0,0,99.99999596019958,0.0,0.0,0.0,0.0,0.0,0.0,0,True,True,True
000123,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,100.0,100.0,100.0,1,1,False,240.0,8.0,650,950,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0101010001,131197,PEDRO CASTRO ALVA,JIRON JUAN PABLO II S/N,PEDRO CASTRO ALVA,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000142,326,319,252,67,1,318,6,0,0,130,111,0,0,11,1,3,0,0,70,0,97.85276073619632,21.003134796238246,99.68652037617555,1,1,False,20.0,70.0,60,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON PIURA S/N,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000156,3,3,2,1,1,2,2,0,0,0,0,0,0,2,0,1,0,0,0,0,100.0,33.333333333333336,66.66666666666667,1,1,False,100.0,100.0,100,100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON SANTA ANA 1259,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000241,50,50,50,0,0,50,7,1,0,2,32,0,0,5,1,8,1,0,0,0,100.0,0.0,100.0,1,1,False,5.0,10.0,140,200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON CHINCHA ALTA 492,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
000255,291,291,286,5,94,197,6,0,0,242,0,1,0,25,3,19,1,0,0,0,100.0,1.7182130584192439,67.69759450171821,1,1,False,1000.0,90.0,935,935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0101010001,131197,CHACHAPOYAS,JIRON AMAZONAS 216,,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,1,Activo,1,A,Urbano,URBANO,-6.22941,-77.8725,55.052082908208746,46.065492325906334,41.000462771351046,60.8170390210455,37.038759830011884,20.66585457427424,0.0,0,0,1.1710107498347448,0,34.7482454207809,84.07488865135423,99.20928348535097,0.0,84.07488865135423,99.20928348535097,41.000462771351046,4,True,True,True
