codlocal,departamento,provincia,distrito,region_dre,cod_ugel,nombre_ugel,centro_poblado,cod_centro_poblado,area,gestion_codigo,tiene_registro_recursos,tiene_registro_lineas,tiene_registro_cobertura,recursos_total,recursos_operativos,recursos_necesitan_reparacion,pct_recursos_operativos,pct_operativos_reparacion,pct_operativos_mas_3_anios,n_lineas,n_lineas_activas,velocidad_bajada_max,velocidad_subida_max,cobertura_3g_max_pct,cobertura_4g_max_pct,cobertura_5g_max_pct,operadores_4g_con_cobertura
000024,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,4,4,0,100.0,0.0,50.0,1,1,6,6,84.07488865135423,99.20928348535097,41.000462771351046,4
000038,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,6,6,0,100.0,0.0,100.0,1,1,50,100,84.07488865135423,99.20928348535097,41.000462771351046,4
000057,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,2,2,1,100.0,50.0,100.0,1,1,6,1,84.07488865135423,99.20928348535097,41.000462771351046,4
000062,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,41,41,0,100.0,0.0,48.78048780487805,1,1,100,200,84.07488865135423,99.20928348535097,41.000462771351046,4
000081,ANCASH,CORONGO,BAMBAS,DRE ANCASH,020009,UGEL CORONGO,BAMBAS,0209030001,Rural,A,True,True,True,23,2,2,8.695652173913043,100.0,100.0,2,2,70,70,0.0,0.0,0.0,0
000123,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,PEDRO CASTRO ALVA,0101010001,Urbano,A,True,True,True,1,1,1,100.0,100.0,100.0,1,1,650,950,84.07488865135423,99.20928348535097,41.000462771351046,4
000142,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,326,319,67,97.85276073619632,21.003134796238246,99.68652037617555,1,1,60,60,84.07488865135423,99.20928348535097,41.000462771351046,4
000156,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,3,3,1,100.0,33.333333333333336,66.66666666666667,1,1,100,100,84.07488865135423,99.20928348535097,41.000462771351046,4
000241,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,50,50,0,100.0,0.0,100.0,1,1,140,200,84.07488865135423,99.20928348535097,41.000462771351046,4
000255,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,DRE AMAZONAS,010001,UGEL CHACHAPOYAS,CHACHAPOYAS,0101010001,Urbano,A,True,True,True,291,291,5,100.0,1.7182130584192439,67.69759450171821,1,1,935,935,84.07488865135423,99.20928348535097,41.000462771351046,4
