columna,vacios,porcentaje_vacios,con_dato
tiene_filtro_contenido_web,2105,11.388843802413028,16378
ancho_contratado_max,1802,9.749499540117947,16681
velocidad_garantizada_mediana_pct,1802,9.749499540117947,16681
pct_operativos_reparacion,378,2.0451225450413895,18105
pct_operativos_mas_3_anios,378,2.0451225450413895,18105
recursos_menos_3_anios,0,0.0,18483
recursos_mas_3_anios,0,0.0,18483
n_tipos_recurso,0,0.0,18483
codlocal,0,0.0,18483
recursos_total,0,0.0,18483
recursos_operativos,0,0.0,18483
recursos_buen_estado,0,0.0,18483
recursos_necesitan_reparacion,0,0.0,18483
rec_microservidor,0,0.0,18483
rec_laptop_xo,0,0.0,18483
rec_laptop_convencional,0,0.0,18483
rec_consola_audio,0,0.0,18483
rec_auriculares,0,0.0,18483
rec_otro_recurso,0,0.0,18483
rec_pizarra_digital,0,0.0,18483
rec_pc_escritorio,0,0.0,18483
rec_tablet_pronatel,0,0.0,18483
rec_tablet_otros,0,0.0,18483
rec_tablet_aprendo_casa,0,0.0,18483
rec_servidor,0,0.0,18483
rec_proyector_multimedia,0,0.0,18483
pct_recursos_operativos,0,0.0,18483
n_lineas,0,0.0,18483
n_lineas_activas,0,0.0,18483
velocidad_bajada_max,0,0.0,18483
velocidad_subida_max,0,0.0,18483
lineas_medio_adsl,0,0.0,18483
lineas_medio_cable_coaxial,0,0.0,18483
lineas_medio_fibra_optica,0,0.0,18483
lineas_medio_hfc,0,0.0,18483
lineas_medio_otro_medio,0,0.0,18483
lineas_medio_radioenlace,0,0.0,18483
lineas_medio_satelital,0,0.0,18483
lineas_medio_sin_dato,0,0.0,18483
lineas_medio_usb_modem,0,0.0,18483
lineas_medio_wifi,0,0.0,18483
lineas_proveedor_bitel,0,0.0,18483
lineas_proveedor_claro,0,0.0,18483
lineas_proveedor_entel,0,0.0,18483
lineas_proveedor_level3,0,0.0,18483
lineas_proveedor_movistar,0,0.0,18483
lineas_proveedor_otro_proveedor,0,0.0,18483
lineas_proveedor_sencinet,0,0.0,18483
lineas_proveedor_sin_dato,0,0.0,18483
lineas_proveedor_vsat_minedu,0,0.0,18483
lineas_proveedor_win,0,0.0,18483
cod_centro_poblado,0,0.0,18483
cod_ccpp_minedu,0,0.0,18483
centro_poblado,0,0.0,18483
direccion,0,0.0,18483
localidad,0,0.0,18483
cod_distrito,0,0.0,18483
departamento,0,0.0,18483
provincia,0,0.0,18483
distrito,0,0.0,18483
region_dre,0,0.0,18483
cod_ugel,0,0.0,18483
nombre_ugel,0,0.0,18483
estado_codigo,0,0.0,18483
estado,0,0.0,18483
area_codigo,0,0.0,18483
gestion_codigo,0,0.0,18483
area,0,0.0,18483
clasificacion_osiptel,0,0.0,18483
latitud_ccpp_osiptel,0,0.0,18483
longitud_ccpp_osiptel,0,0.0,18483
bitel_3g_cg,0,0.0,18483
bitel_4g_cg,0,0.0,18483
bitel_5g_cg,0,0.0,18483
claro_2g_cg,0,0.0,18483
claro_3g_cg,0,0.0,18483
claro_4g_cg,0,0.0,18483
claro_5g_cg,0,0.0,18483
entel_2g_cg,0,0.0,18483
entel_3g_cg,0,0.0,18483
entel_4g_cg,0,0.0,18483
entel_5g_cg,0,0.0,18483
integratel_2g_cg,0,0.0,18483
integratel_3g_cg,0,0.0,18483
integratel_4g_cg,0,0.0,18483
integratel_5g_cg,0,0.0,18483
cobertura_3g_max_pct,0,0.0,18483
cobertura_4g_max_pct,0,0.0,18483
cobertura_5g_max_pct,0,0.0,18483
operadores_4g_con_cobertura,0,0.0,18483
tiene_registro_recursos,0,0.0,18483
tiene_registro_lineas,0,0.0,18483
tiene_registro_cobertura,0,0.0,18483
